"","report_id","AGENT","IS_LOCAL","EDU_LEVEL","MARRY_STATUS","SALARY","HAS_FUND","Y","gender","domicile","debt_amount","loantype1_cnt","loantype2_cnt","loantype3_cnt","guarantee1_cnt","guarantee2_cnt","query1","query2","query3","account1","account2","account3","balance_sum","institutions_cnt","used_amount_sum","ovd_yuqi_n1","ovd_yuqi_n2","ovd_yuqi_n3"
"1",8787,"APP","本地籍","本科","已婚",3,0,0,"男","320382",15000,0,0,0,0,2,0,0,0,0,0,1,0,1,9510,0,0,0
"2",9410,"wechat","本地籍","未知","已婚",6,1,0,"女","120223",228050,0,5,0,0,16,47,0,22,1,0,1,95207,18,73510,0,0,1
"3",22999,"APP","本地籍","专科及以下","已婚",4,0,0,"男","330226",176738,1,2,0,0,10,27,0,6,1,1,1,66945,9,71562,0,0,1
"4",24820,"APP","本地籍","专科及以下","已婚",2,0,1,"女","230105",146000,0,0,0,0,9,5,0,0,0,0,1,0,8,62222,0,0,3
"5",25708,"missing","本地籍","专科及以下","未婚",-1,1,0,"女","340222",29000,0,1,0,0,6,11,0,9,1,0,1,1000,5,26957,0,0,0
"6",26899,"APP","本地籍","专科及以下","已婚",4,0,0,"男","120222",28400,0,1,0,0,4,18,0,6,1,0,1,6578,4,20032,0,0,0
"7",28675,"APP","非本地籍","专科及以下","未婚",2,1,1,"男","142231",32888,0,2,0,0,3,11,0,12,1,0,1,6328,4,23504,0,0,0
"8",41549,"missing","本地籍","本科","已婚",-1,0,0,"女","130106",53500,0,4,0,0,10,26,0,3,1,0,1,15956,9,30212,0,0,5
"9",48614,"APP","本地籍","专科及以下","已婚",4,1,0,"女","370281",391500,0,2,1,0,4,6,0,2,1,0,1,284296,7,27001,0,1,3
"10",49099,"missing","非本地籍","专科及以下","未婚",-1,1,0,"男","330724",16000,0,2,0,0,2,3,0,4,1,0,1,3850,4,4074,0,0,0
"11",50598,"APP","本地籍","专科及以下","已婚",6,0,0,"男","410381",64075,0,2,0,0,8,6,0,4,1,0,1,16417,7,41564,0,0,3
"12",54038,"APP","非本地籍","专科及以下","未婚",2,0,0,"男","420321",121789,0,1,0,0,4,6,0,3,1,1,1,23000,6,53203,0,0,1
"13",65159,"wechat","本地籍","专科及以下","未婚",4,1,0,"男","420607",47001,0,0,0,0,2,4,0,3,0,1,1,0,4,33579,0,0,0
"14",70476,"missing","非本地籍","专科及以下","未婚",-1,1,0,"男","231026",66484,0,11,0,0,6,9,0,9,1,0,1,14154,11,40305,0,0,0
"15",74971,"rongzhijia","本地籍","专科及以下","已婚",2,1,0,"男","130404",201509,0,5,0,0,8,12,0,15,1,1,1,94880,10,65167,0,0,0
"16",88163,"missing","非本地籍","本科","已婚",-1,0,1,"男","210402",320628,0,0,0,0,25,12,1,11,0,0,1,0,11,261819,0,0,0
"17",88203,"missing","本地籍","专科及以下","已婚",-1,1,0,"女","330781",42925,0,3,0,0,5,13,0,10,1,1,1,7977,8,22883,0,0,1
"18",90751,"APP","本地籍","专科及以下","离婚",4,1,0,"女","120108",6000,0,0,0,0,3,7,0,3,0,0,1,0,2,2233,0,0,1
"19",98638,"missing","非本地籍","本科","未婚",-1,0,0,"女","350824",78900,0,5,0,0,10,10,0,8,1,0,1,17151,13,37894,0,0,0
"20",112594,"wechat","本地籍","专科及以下","已婚",-1,1,1,"男","142730",134388,0,5,0,0,10,19,0,10,1,0,1,37346,6,44462,0,0,0
"21",113922,"wechat","本地籍","专科及以下","已婚",4,1,0,"男","370682",91500,0,0,0,0,10,22,0,3,0,0,1,0,8,65525,0,0,0
"22",116104,"missing","本地籍","专科及以下","已婚",-1,0,0,"男","430124",117500,0,9,0,0,3,5,0,9,1,0,1,62187,6,15885,0,0,0
"23",117735,"wechat","本地籍","专科及以下","已婚",3,0,1,"男","130224",151000,1,2,0,0,8,13,1,8,1,0,1,59223,10,21325,0,0,0
